time,biomass,product
0.0,4.0,0.0
12.0,6.11981687148694,5.94848674265937e-08
24.0,8.67284843776881,1.45400591315023e-07
36.0,11.4401553866219,2.61055955202051e-07
48.0,14.2193100491566,4.07135673793497e-07
60.0,16.7458325833804,5.82119076633533e-07
72.0,18.3373430030767,7.77287337756938e-07
84.0,19.743898451964,9.86232198886987e-07
96.0,19.9242814704815,1.15140141318732e-06
108.0,18.1374891244273,893.989939554583
120.0,16.4800597115771,1179.38966041748
132.0,14.8048896165315,1162.29711442551
144.0,13.1478302792446,1076.55648939591
156.0,11.6220394227987,989.42488041865
168.0,10.2976612956423,912.29244893436
180.0,9.1697069854445,845.47425980633
192.0,8.20746499777133,787.506502629908
204.0,7.38062364960975,736.881219938914
216.0,6.66460809613195,692.334065688357
228.0,6.04014403445397,652.849957637936
240.0,5.4920653648468,617.619245784865
